Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,TIME_DETAIL,Value
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,F,Y0T4,,,PER_100_LIVE_BIRTHS,2014,110.1
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,F,Y0T4,,,PER_100_LIVE_BIRTHS,2014,97.0
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,F,Y0T4,,,PER_100_LIVE_BIRTHS,2014,59.0
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,F,Y0T4,,,PER_100_LIVE_BIRTHS,2014,41.0
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,M,Y0T4,,,PER_100_LIVE_BIRTHS,2014,132.8
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,M,Y0T4,,,PER_100_LIVE_BIRTHS,2014,115.0
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,M,Y0T4,,,PER_100_LIVE_BIRTHS,2014,76.0
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,M,Y0T4,,,PER_100_LIVE_BIRTHS,2014,54.0
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,,Y0T4,,,PER_100_LIVE_BIRTHS,2014,124.4
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,,Y0T4,,,PER_100_LIVE_BIRTHS,2014,83.0
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,,Y0T4,,,PER_100_LIVE_BIRTHS,2014,54.0
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,,Y0T4,,,PER_100_LIVE_BIRTHS,2014,35.0
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,,Y0T4,,Q1,PER_100_LIVE_BIRTHS,2014,127.0
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,,Y0T4,,Q1,PER_100_LIVE_BIRTHS,2014,90.0
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,,Y0T4,,Q1,PER_100_LIVE_BIRTHS,2014,76.0
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,,Y0T4,,Q2,PER_100_LIVE_BIRTHS,2014,129.0
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,,Y0T4,,Q2,PER_100_LIVE_BIRTHS,2014,83.0
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,,Y0T4,,Q2,PER_100_LIVE_BIRTHS,2014,56.0
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,,Y0T4,,Q3,PER_100_LIVE_BIRTHS,2014,114.0
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,,Y0T4,,Q3,PER_100_LIVE_BIRTHS,2014,68.0
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,,Y0T4,,Q3,PER_100_LIVE_BIRTHS,2014,41.0
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,,Y0T4,,Q4,PER_100_LIVE_BIRTHS,2014,92.0
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,,Y0T4,,Q4,PER_100_LIVE_BIRTHS,2014,49.0
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,,Y0T4,,Q4,PER_100_LIVE_BIRTHS,2014,33.0
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,,Y0T4,,Q5,PER_100_LIVE_BIRTHS,2014,43.0
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,,Y0T4,,Q5,PER_100_LIVE_BIRTHS,2014,30.0
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,,Y0T4,,Q5,PER_100_LIVE_BIRTHS,2014,19.0
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,,Y0T4,U,,PER_100_LIVE_BIRTHS,2014,92.6
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,,Y0T4,U,,PER_100_LIVE_BIRTHS,2014,76.0
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,,Y0T4,U,,PER_100_LIVE_BIRTHS,2014,29.0
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,,Y0T4,U,,PER_100_LIVE_BIRTHS,2014,18.0
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,,Y0T4,R,,PER_100_LIVE_BIRTHS,2014,126.0
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,,Y0T4,R,,PER_100_LIVE_BIRTHS,2014,111.0
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,,Y0T4,R,,PER_100_LIVE_BIRTHS,2014,75.0
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH,,Y0T4,R,,PER_100_LIVE_BIRTHS,2014,52.0
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH01,,Y0T4,,,PER_100_LIVE_BIRTHS,2014,107.7
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH01,,Y0T4,,,PER_100_LIVE_BIRTHS,2014,96.0
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH01,,Y0T4,,,PER_100_LIVE_BIRTHS,2014,76.0
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH01,,Y0T4,,,PER_100_LIVE_BIRTHS,2014,32.0
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH03,,Y0T4,,,PER_100_LIVE_BIRTHS,2014,133.8
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH03,,Y0T4,,,PER_100_LIVE_BIRTHS,2014,111.0
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_DYN_MORT,KH03,,Y0T4,,,PER_100_LIVE_BIRTHS,2014,58.0
