Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,TIME_DETAIL,Value
1993,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,,PT,2019-2020,9.5
1996,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,,PT,2019-2020,11.9
1997,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,,PT,2019-2020,9.0
1999,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,,PT,2019-2020,10.6
2004,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,,PT,2019-2020,14.2
2007,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,,PT,2019-2020,20.2
2008,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,,PT,2019-2020,24.2
2009,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,,PT,2019-2020,25.6
2010,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,,PT,2019-2020,32.5
2011,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,,PT,2019-2020,37.4
2012,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,,PT,2019-2020,42.3
2013,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,,PT,2019-2020,50.9
2014,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,,PT,2019-2020,59.8
2015,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,,PT,2019-2020,67.4
2016,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,,PT,2019-2020,80.9
2017,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,,PT,2019-2020,85.9
2019,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,,PT,2019-2020,85.8
1993,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,U,PT,2019-2020,30.2
1996,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,U,PT,2019-2020,29.3
1997,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,U,PT,2019-2020,22.3
1999,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,U,PT,2019-2020,24.4
2004,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,U,PT,2019-2020,44.0
2007,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,U,PT,2019-2020,56.0
2008,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,U,PT,2019-2020,62.1
2009,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,U,PT,2019-2020,76.7
2010,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,U,PT,2019-2020,78.1
