Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,TIME_DETAIL,Value
2008,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,,ISCED11_3,PT,2019-2020,0.75
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,,ISCED11_3,PT,2019-2020,0.83
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,,ISCED11_3,PT,2019-2020,0.84
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,,ISCED11_3,PT,2019-2020,0.9
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,,ISCED11_3,PT,2019-2020,0.93
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,,ISCED11_3,PT,2019-2020,0.98
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,,ISCED11_3,PT,2019-2020,1.0
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,,ISCED11_3,PT,2019-2020,1.08
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,,ISCED11_3,PT,2019-2020,1.13
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,,ISCED11_3,PT,2019-2020,1.18
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,,ISCED11_3,PT,2019-2020,1.24
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,,ISCED11_3,PT,2019-2020,1.31
2008,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,U,ISCED11_3,PT,2019-2020,0.78
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,U,ISCED11_3,PT,2019-2020,0.77
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,U,ISCED11_3,PT,2019-2020,0.81
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,U,ISCED11_3,PT,2019-2020,0.86
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,U,ISCED11_3,PT,2019-2020,0.88
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,U,ISCED11_3,PT,2019-2020,0.93
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,U,ISCED11_3,PT,2019-2020,1.0
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,U,ISCED11_3,PT,2019-2020,1.0
