Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,UNIT_MEASURE,Time period details,Value
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,Female,under 5 years old,,,Per 100 live births,2014,110.1
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,Female,under 5 years old,,,Per 100 live births,2014,97.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,Female,under 5 years old,,,Per 100 live births,2014,59.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,Female,under 5 years old,,,Per 100 live births,2014,41.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,Male,under 5 years old,,,Per 100 live births,2014,132.8
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,Male,under 5 years old,,,Per 100 live births,2014,115.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,Male,under 5 years old,,,Per 100 live births,2014,76.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,Male,under 5 years old,,,Per 100 live births,2014,54.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,,under 5 years old,,,Per 100 live births,2014,124.4
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,,under 5 years old,,,Per 100 live births,2014,83.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,,under 5 years old,,,Per 100 live births,2014,54.0
