Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Time period details,Value
1998,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.2 Total fertility rate,Cambodia,,Live births per woman,2019,5.3
2000,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.2 Total fertility rate,Cambodia,,Live births per woman,2019,4.0
2004,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.2 Total fertility rate,Cambodia,,Live births per woman,2019,3.34
2005,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.2 Total fertility rate,Cambodia,,Live births per woman,2019,3.4
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.2 Total fertility rate,Cambodia,,Live births per woman,2019,3.1
2010,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.2 Total fertility rate,Cambodia,,Live births per woman,2019,3.0
2013,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.2 Total fertility rate,Cambodia,,Live births per woman,2019,2.37
2014,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.2 Total fertility rate,Cambodia,,Live births per woman,2019,2.7
2019,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.2 Total fertility rate,Cambodia,,Live births per woman,2019,2.51
1998,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.2 Total fertility rate,Cambodia,Urban,Live births per woman,2019,4.4
2000,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.2 Total fertility rate,Cambodia,Urban,Live births per woman,2019,3.1
2005,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.2 Total fertility rate,Cambodia,Urban,Live births per woman,2019,2.8
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.2 Total fertility rate,Cambodia,Urban,Live births per woman,2019,2.1
2010,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.2 Total fertility rate,Cambodia,Urban,Live births per woman,2019,2.2
2013,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.2 Total fertility rate,Cambodia,Urban,Live births per woman,2019,2.15
2014,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.2 Total fertility rate,Cambodia,Urban,Live births per woman,2019,2.1
2019,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.2 Total fertility rate,Cambodia,Urban,Live births per woman,2019,2.22
1998,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.2 Total fertility rate,Cambodia,Rural,Live births per woman,2019,5.5
2000,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.2 Total fertility rate,Cambodia,Rural,Live births per woman,2019,4.2
2005,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.2 Total fertility rate,Cambodia,Rural,Live births per woman,2019,3.5
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.2 Total fertility rate,Cambodia,Rural,Live births per woman,2019,3.3
2010,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.2 Total fertility rate,Cambodia,Rural,Live births per woman,2019,3.3
2013,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.2 Total fertility rate,Cambodia,Rural,Live births per woman,2019,3.05
2014,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.2 Total fertility rate,Cambodia,Rural,Live births per woman,2019,2.9
2019,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.2 Total fertility rate,Cambodia,Rural,Live births per woman,2019,2.81
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.1.2 Total fertility rate,Banteay Meanchey,,Live births per woman,2010,4.3
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.1.2 Total fertility rate,Banteay Meanchey,,Live births per woman,2010,3.8
2008,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.1.2 Total fertility rate,Banteay Meanchey,,Live births per woman,2010,2.7
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.1.2 Total fertility rate,Banteay Meanchey,,Live births per woman,2010,3.2
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.2 Total fertility rate,Battambang,,Live births per woman,2008,3.2
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.1.2 Total fertility rate,Kampong Cham,,Live births per woman,2010,4.2
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.1.2 Total fertility rate,Kampong Cham,,Live births per woman,2010,3.2
2008,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.1.2 Total fertility rate,Kampong Cham,,Live births per woman,2010,3.1
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.1.2 Total fertility rate,Kampong Cham,,Live births per woman,2010,3.4
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.1.2 Total fertility rate,Kampong Chhnang,,Live births per woman,2010,5.2
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.1.2 Total fertility rate,Kampong Chhnang,,Live births per woman,2010,4.3
2008,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.1.2 Total fertility rate,Kampong Chhnang,,Live births per woman,2010,3.6
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.1.2 Total fertility rate,Kampong Chhnang,,Live births per woman,2010,3.6
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.1.2 Total fertility rate,Kampong Speu,,Live births per woman,2010,4.6
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.1.2 Total fertility rate,Kampong Speu,,Live births per woman,2010,3.7
2008,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.1.2 Total fertility rate,Kampong Speu,,Live births per woman,2010,3.4
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.1.2 Total fertility rate,Kampong Speu,,Live births per woman,2010,3.1
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.1.2 Total fertility rate,Kampong Thom,,Live births per woman,2010,4.3
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.1.2 Total fertility rate,Kampong Thom,,Live births per woman,2010,3.7
2008,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.1.2 Total fertility rate,Kampong Thom,,Live births per woman,2010,3.3
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.1.2 Total fertility rate,Kampong Thom,,Live births per woman,2010,3.2
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.2 Total fertility rate,Kampot,,Live births per woman,2008,3.1
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.1.2 Total fertility rate,Kandal,,Live births per woman,2010,3.8
