Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,URBANISATION,COMPOSITE_BREAKDOWN,UNIT_MEASURE,TIME_DETAIL,Value
1993,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,,PT,2019-2020,5.8
1996,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,,PT,2019-2020,26.4
1997,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,,PT,2019-2020,29.9
1999,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,,PT,2019-2020,47.5
2004,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,,PT,2019-2020,51.2
2007,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,,PT,2019-2020,54.5
2008,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,,PT,2019-2020,55.0
2009,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,,PT,2019-2020,48.7
2010,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,,PT,2019-2020,48.2
2011,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,,PT,2019-2020,50.5
2012,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,,PT,2019-2020,50.7
2013,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,,PT,2019-2020,54.2
2014,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,,PT,2019-2020,54.5
2015,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,,PT,2019-2020,59.2
2016,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,,PT,2019-2020,61.1
2017,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,,PT,2019-2020,64.8
2019,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,,PT,2019-2020,79.71
2009,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_PIPE,PT,2019-2020,15.0
2010,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_PIPE,PT,2019-2020,14.2
2011,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_PIPE,PT,2019-2020,16.2
2012,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_PIPE,PT,2019-2020,20.0
2013,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_PIPE,PT,2019-2020,22.5
2014,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_PIPE,PT,2019-2020,21.7
2015,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_PIPE,PT,2019-2020,24.1
2016,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_PIPE,PT,2019-2020,29.5
2017,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_PIPE,PT,2019-2020,29.2
2019,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_PIPE,PT,2019-2020,29.55
2009,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_PUBTAP,PT,2019-2020,0.5
2010,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_PUBTAP,PT,2019-2020,0.1
2011,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_PUBTAP,PT,2019-2020,0.1
2012,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_PUBTAP,PT,2019-2020,0.1
