Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,TIME_DETAIL,Value
2000,A,0,C,MoH_Health Management Information System,A,N,SH_STA_BRTC,KH,,PT,2018,31.8
2005,A,0,C,MoH_Health Management Information System,A,N,SH_STA_BRTC,KH,,PT,2018,43.8
2010,A,0,C,MoH_Health Management Information System,A,N,SH_STA_BRTC,KH,,PT,2018,71.0
2014,A,0,C,MoH_Health Management Information System,A,N,SH_STA_BRTC,KH,,PT,2018,89.0
2015,A,0,C,MoH_Health Management Information System,A,N,SH_STA_BRTC,KH,,PT,2018,89.0
2016,A,0,C,MoH_Health Management Information System,A,N,SH_STA_BRTC,KH,,PT,2018,85.0
2017,A,0,C,MoH_Health Management Information System,A,N,SH_STA_BRTC,KH,,PT,2018,89.0
2018,A,0,C,MoH_Health Management Information System,A,N,SH_STA_BRTC,KH,,PT,2018,87.3
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH,U,PT,2014,57.2
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH,U,PT,2014,70.1
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH,U,PT,2014,94.7
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH,U,PT,2014,97.8
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH,R,PT,2014,28.0
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH,R,PT,2014,39.4
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH,R,PT,2014,66.6
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH,R,PT,2014,87.6
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH01,,PT,2014,36.6
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH01,,PT,2014,33.1
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH01,,PT,2014,69.0
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH01,,PT,2014,95.8
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH03,,PT,2014,22.5
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH03,,PT,2014,45.9
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH03,,PT,2014,67.9
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH03,,PT,2014,91.5
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH04,,PT,2014,16.6
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH04,,PT,2014,37.2
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH04,,PT,2014,59.8
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH04,,PT,2014,97.6
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH05,,PT,2014,15.1
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH05,,PT,2014,22.7
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH05,,PT,2014,68.2
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH05,,PT,2014,89.3
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH06,,PT,2014,15.4
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH06,,PT,2014,24.5
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH06,,PT,2014,47.7
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH06,,PT,2014,80.4
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH08,,PT,2014,53.0
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH08,,PT,2014,73.5
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH08,,PT,2014,87.0
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH08,,PT,2014,95.7
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH09,,PT,2000,30.6
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH10,,PT,2014,28.6
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH10,,PT,2014,44.4
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH10,,PT,2014,51.9
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH22,,PT,2014,15.2
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH22,,PT,2014,64.4
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH22,,PT,2014,88.7
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH12,,PT,2014,88.9
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH12,,PT,2014,86.0
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH12,,PT,2014,98.8
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH12,,PT,2014,96.1
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH14,,PT,2014,25.3
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH14,,PT,2014,28.0
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH14,,PT,2014,59.2
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH14,,PT,2014,97.6
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH15,,PT,2014,19.0
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH15,,PT,2014,31.7
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH15,,PT,2014,73.9
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH15,,PT,2014,86.1
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH17,,PT,2014,28.6
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH17,,PT,2014,72.7
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH17,,PT,2014,93.0
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH20,,PT,2014,22.4
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH20,,PT,2014,28.9
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH20,,PT,2014,89.6
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH20,,PT,2014,94.3
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH21,,PT,2014,39.5
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH21,,PT,2014,62.1
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH21,,PT,2014,85.4
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH21,,PT,2014,97.4
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH_AGG_KH02_KH24,,PT,2014,44.7
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH_AGG_KH02_KH24,,PT,2014,59.3
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH_AGG_KH02_KH24,,PT,2014,78.1
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH_AGG_KH02_KH24,,PT,2014,94.1
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH_AGG_KH07_KH18_KH23,,PT,2000,30.8
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH_AGG_KH10_KH13_KH19,,PT,2000,40.5
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH_AGG_KH11_KH16,,PT,2014,14.2
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH_AGG_KH11_KH16,,PT,2014,13.7
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH_AGG_KH11_KH16,,PT,2014,38.4
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH_AGG_KH11_KH16,,PT,2014,53.6
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH_AGG_KH22_KH17,,PT,2000,12.0
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH_AGG_KH07_KH23,,PT,2014,41.0
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH_AGG_KH07_KH23,,PT,2014,66.5
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH_AGG_KH07_KH23,,PT,2014,90.5
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH_KH09_KH18,,PT,2014,57.1
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH_KH09_KH18,,PT,2014,79.2
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH_KH09_KH18,,PT,2014,97.5
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH_AGG_KH13_KH19,,PT,2014,12.9
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH_AGG_KH13_KH19,,PT,2014,28.2
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_BRTC,KH_AGG_KH13_KH19,,PT,2014,54.6
