Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,UNIT_MEASURE,Time period details,Value
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,Female,under 5 years old,,,Percent,2014,14.6
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,Female,under 5 years old,,,Percent,2014,7.4
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,Female,under 5 years old,,,Percent,2014,10.4
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,Female,under 5 years old,,,Percent,2014,9.3
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,Male,under 5 years old,,,Percent,2014,15.4
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,Male,under 5 years old,,,Percent,2014,7.1
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,Male,under 5 years old,,,Percent,2014,11.4
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,Male,under 5 years old,,,Percent,2014,9.9
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,,under 5 years old,,,Percent,2014,15.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,,under 5 years old,,,Percent,2014,7.3
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,,under 5 years old,,,Percent,2014,10.9
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,,under 5 years old,,,Percent,2014,9.6
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,,under 5 years old,,Quintile 1 (poorest),Percent,2014,8.3
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,,under 5 years old,,Quintile 1 (poorest),Percent,2014,11.9
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,,under 5 years old,,Quintile 1 (poorest),Percent,2014,11.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,,under 5 years old,,Quintile 2,Percent,2014,9.2
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,,under 5 years old,,Quintile 2,Percent,2014,9.6
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,,under 5 years old,,Quintile 2,Percent,2014,11.4
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,,under 5 years old,,Quintile 3,Percent,2014,5.5
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,,under 5 years old,,Quintile 3,Percent,2014,11.5
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,,under 5 years old,,Quintile 3,Percent,2014,8.4
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,,under 5 years old,,Quintile 4,Percent,2014,6.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,,under 5 years old,,Quintile 4,Percent,2014,11.1
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,,under 5 years old,,Quintile 4,Percent,2014,9.3
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,,under 5 years old,,Quintile 5 (richest),Percent,2014,6.7
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,,under 5 years old,,Quintile 5 (richest),Percent,2014,10.1
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,,under 5 years old,,Quintile 5 (richest),Percent,2014,7.4
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,,under 5 years old,Urban,,Percent,2014,12.6
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,,under 5 years old,Urban,,Percent,2014,8.3
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,,under 5 years old,Urban,,Percent,2014,11.6
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,,under 5 years old,Urban,,Percent,2014,7.5
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,,under 5 years old,Rural,,Percent,2014,15.4
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,,under 5 years old,Rural,,Percent,2014,7.1
