Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Time period details,Value
2000,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.2.1 Maternal mortality ratio (MMR),Cambodia,Female,"Per 100,000 live births",2019,437.0
2005,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.2.1 Maternal mortality ratio (MMR),Cambodia,Female,"Per 100,000 live births",2019,472.0
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.2.1 Maternal mortality ratio (MMR),Cambodia,Female,"Per 100,000 live births",2019,460.84
2010,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.2.1 Maternal mortality ratio (MMR),Cambodia,Female,"Per 100,000 live births",2019,206.0
2014,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.2.1 Maternal mortality ratio (MMR),Cambodia,Female,"Per 100,000 live births",2019,170.0
2019,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.2.1 Maternal mortality ratio (MMR),Cambodia,Female,"Per 100,000 live births",2019,141.0
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.2.1 Maternal mortality ratio (MMR),Banteay Meanchey,Female,"Per 100,000 live births",2008,263.5
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.2.1 Maternal mortality ratio (MMR),Battambang,Female,"Per 100,000 live births",2008,219.41
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.2.1 Maternal mortality ratio (MMR),Kampong Cham,Female,"Per 100,000 live births",2008,451.02
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.2.1 Maternal mortality ratio (MMR),Kampong Chhnang,Female,"Per 100,000 live births",2008,277.22
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.2.1 Maternal mortality ratio (MMR),Kampong Speu,Female,"Per 100,000 live births",2008,460.78
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.2.1 Maternal mortality ratio (MMR),Kampong Thom,Female,"Per 100,000 live births",2008,590.68
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.2.1 Maternal mortality ratio (MMR),Kampot,Female,"Per 100,000 live births",2008,823.4
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.2.1 Maternal mortality ratio (MMR),Kandal,Female,"Per 100,000 live births",2008,305.06
