Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Time period details,Value
2007,Normal value,Units,Country Data,"MoWA_Planning and Statistics Department, Annual report",Annual,National,16.7.1 Proportion of female in civil servant,Cambodia,Female,Percent,2020,32
2008,Normal value,Units,Country Data,"MoWA_Planning and Statistics Department, Annual report",Annual,National,16.7.1 Proportion of female in civil servant,Cambodia,Female,Percent,2020,34
2009,Normal value,Units,Country Data,"MoWA_Planning and Statistics Department, Annual report",Annual,National,16.7.1 Proportion of female in civil servant,Cambodia,Female,Percent,2020,33
2010,Normal value,Units,Country Data,"MoWA_Planning and Statistics Department, Annual report",Annual,National,16.7.1 Proportion of female in civil servant,Cambodia,Female,Percent,2020,34
2011,Normal value,Units,Country Data,"MoWA_Planning and Statistics Department, Annual report",Annual,National,16.7.1 Proportion of female in civil servant,Cambodia,Female,Percent,2020,34
2012,Normal value,Units,Country Data,"MoWA_Planning and Statistics Department, Annual report",Annual,National,16.7.1 Proportion of female in civil servant,Cambodia,Female,Percent,2020,35
2013,Normal value,Units,Country Data,"MoWA_Planning and Statistics Department, Annual report",Annual,National,16.7.1 Proportion of female in civil servant,Cambodia,Female,Percent,2020,37
2014,Normal value,Units,Country Data,"MoWA_Planning and Statistics Department, Annual report",Annual,National,16.7.1 Proportion of female in civil servant,Cambodia,Female,Percent,2020,38
2015,Normal value,Units,Country Data,"MoWA_Planning and Statistics Department, Annual report",Annual,National,16.7.1 Proportion of female in civil servant,Cambodia,Female,Percent,2020,39
2016,Normal value,Units,Country Data,"MoWA_Planning and Statistics Department, Annual report",Annual,National,16.7.1 Proportion of female in civil servant,Cambodia,Female,Percent,2020,40
2017,Normal value,Units,Country Data,"MoWA_Planning and Statistics Department, Annual report",Annual,National,16.7.1 Proportion of female in civil servant,Cambodia,Female,Percent,2020,41
2018,Normal value,Units,Country Data,"MoWA_Planning and Statistics Department, Annual report",Annual,National,16.7.1 Proportion of female in civil servant,Cambodia,Female,Percent,2020,42
2019,Normal value,Units,Country Data,"MoWA_Planning and Statistics Department, Annual report",Annual,National,16.7.1 Proportion of female in civil servant,Cambodia,Female,Percent,2020,43
2020,Normal value,Units,Country Data,"MoWA_Planning and Statistics Department, Annual report",Annual,National,16.7.1 Proportion of female in civil servant,Cambodia,Female,Percent,2020,44
