Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Time period details,Value
1998,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Female,,Years,2019,58.3
2000,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Female,,Years,2019,54.4
2001,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Female,,Years,2019,55.1
2002,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Female,,Years,2019,55.8
2003,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Female,,Years,2019,56.5
2004,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Female,,Years,2019,57.2
2005,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Female,,Years,2019,57.9
2006,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Female,,Years,2019,58.6
2007,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Female,,Years,2019,59.3
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Female,,Years,2019,64.3
2009,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Female,,Years,2019,65.2
2010,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Female,,Years,2019,66.1
2011,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Female,,Years,2019,67.0
2012,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Female,,Years,2019,67.9
2013,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Female,,Years,2019,68.8
2014,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Female,,Years,2019,69.6
2015,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Female,,Years,2019,70.4
2016,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Female,,Years,2019,71.2
2017,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Female,,Years,2019,72.0
2018,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Female,,Years,2019,72.7
