Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Time period details,Value
1993,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,,Percent,2019-2020,9.5
1996,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,,Percent,2019-2020,11.9
1997,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,,Percent,2019-2020,9.0
1999,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,,Percent,2019-2020,10.6
2004,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,,Percent,2019-2020,14.2
2007,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,,Percent,2019-2020,20.2
2008,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,,Percent,2019-2020,24.2
2009,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,,Percent,2019-2020,25.6
2010,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,,Percent,2019-2020,32.5
2011,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,,Percent,2019-2020,37.4
2012,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,,Percent,2019-2020,42.3
2013,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,,Percent,2019-2020,50.9
2014,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,,Percent,2019-2020,59.8
2015,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,,Percent,2019-2020,67.4
2016,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,,Percent,2019-2020,80.9
2017,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,,Percent,2019-2020,85.9
2019,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,,Percent,2019-2020,85.8
1993,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Urban,Percent,2019-2020,30.2
1996,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Urban,Percent,2019-2020,29.3
1997,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Urban,Percent,2019-2020,22.3
1999,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Urban,Percent,2019-2020,24.4
2004,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Urban,Percent,2019-2020,44.0
2007,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Urban,Percent,2019-2020,56.0
2008,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Urban,Percent,2019-2020,62.1
2009,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Urban,Percent,2019-2020,76.7
2010,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Urban,Percent,2019-2020,78.1
2011,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Urban,Percent,2019-2020,80.9
2012,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Urban,Percent,2019-2020,87.0
2013,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Urban,Percent,2019-2020,94.3
2014,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Urban,Percent,2019-2020,91.8
2015,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Urban,Percent,2019-2020,94.3
2016,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Urban,Percent,2019-2020,93.4
2017,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Urban,Percent,2019-2020,96.6
2019,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Urban,Percent,2019-2020,96.8
1993,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Rural,Percent,2019-2020,3.0
1996,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Rural,Percent,2019-2020,5.3
1997,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Rural,Percent,2019-2020,2.2
1999,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Rural,Percent,2019-2020,2.4
2004,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Rural,Percent,2019-2020,2.3
2007,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Rural,Percent,2019-2020,10.3
2008,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Rural,Percent,2019-2020,11.3
2009,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Rural,Percent,2019-2020,11.5
2010,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Rural,Percent,2019-2020,18.8
2011,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Rural,Percent,2019-2020,24.0
2012,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Rural,Percent,2019-2020,26.8
2013,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Rural,Percent,2019-2020,37.9
2014,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Rural,Percent,2019-2020,48.3
2015,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Rural,Percent,2019-2020,63.3
2016,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Rural,Percent,2019-2020,76.4
2017,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Rural,Percent,2019-2020,82.4
2019,Normal value,Units,Country Data,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",Annual,National,7.1.1 Proportion of population with access to electricity,Cambodia,Rural,Percent,2019-2020,79.1
