Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,UNIT_MEASURE,Time period details,Value
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,Female,under 5 years old,,,Percent,2014,45.9
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,Female,under 5 years old,,,Percent,2014,35.8
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,Female,under 5 years old,,,Percent,2014,38.2
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,Female,under 5 years old,,,Percent,2014,31.9
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,Male,under 5 years old,,,Percent,2014,43.3
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,Male,under 5 years old,,,Percent,2014,38.8
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,Male,under 5 years old,,,Percent,2014,41.6
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,Male,under 5 years old,,,Percent,2014,32.9
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,,under 5 years old,,,Percent,2014,44.6
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,,under 5 years old,,,Percent,2014,37.3
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,,under 5 years old,,,Percent,2014,39.9
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,,under 5 years old,,,Percent,2014,32.4
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,,under 5 years old,,Quintile 1 (poorest),Percent,2014,46.7
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,,under 5 years old,,Quintile 1 (poorest),Percent,2014,51.1
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,,under 5 years old,,Quintile 1 (poorest),Percent,2014,41.9
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,,under 5 years old,,Quintile 2,Percent,2014,42.5
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,,under 5 years old,,Quintile 2,Percent,2014,44.4
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,,under 5 years old,,Quintile 2,Percent,2014,37.1
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,,under 5 years old,,Quintile 3,Percent,2014,36.5
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,,under 5 years old,,Quintile 3,Percent,2014,39.3
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,,under 5 years old,,Quintile 3,Percent,2014,31.7
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,,under 5 years old,,Quintile 4,Percent,2014,35.5
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,,under 5 years old,,Quintile 4,Percent,2014,34.2
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,,under 5 years old,,Quintile 4,Percent,2014,29.1
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,,under 5 years old,,Quintile 5 (richest),Percent,2014,19.4
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,,under 5 years old,,Quintile 5 (richest),Percent,2014,23.1
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,,under 5 years old,,Quintile 5 (richest),Percent,2014,18.5
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,,under 5 years old,Urban,,Percent,2014,38.1
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,,under 5 years old,Urban,,Percent,2014,30.5
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,,under 5 years old,Urban,,Percent,2014,27.5
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,,under 5 years old,Urban,,Percent,2014,23.7
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,,under 5 years old,Rural,,Percent,2014,45.7
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,,under 5 years old,Rural,,Percent,2014,38.3
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,,under 5 years old,Rural,,Percent,2014,42.2
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Cambodia,,under 5 years old,Rural,,Percent,2014,33.8
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Banteay Meanchey,,under 5 years old,,,Percent,2014,28.9
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Banteay Meanchey,,under 5 years old,,,Percent,2014,34.1
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Banteay Meanchey,,under 5 years old,,,Percent,2014,33.4
