Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Time period details,Value
1993,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,,Percent,2014,39.0
1997,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,,Percent,2014,36.1
1999,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,,Percent,2014,35.9
2004,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,,Percent,2014,34.68
2007,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,,Percent,2014,47.8
2008,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,,Percent,2014,29.9
2009,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,,Percent,2014,22.9
2010,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,,Percent,2014,21.1
2011,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,,Percent,2014,19.8
2012,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,,Percent,2014,18.9
2013,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,,Percent,2014,16.0
2014,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,,Percent,2014,13.5
1993,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,Urban,Percent,2014,36.62
1997,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,Urban,Percent,2014,29.9
1999,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,Urban,Percent,2014,25.2
2004,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,Urban,Percent,2014,24.73
2007,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,Urban,Percent,2014,41.0
2008,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,Urban,Percent,2014,30.5
2009,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,Urban,Percent,2014,19.3
2010,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,Urban,Percent,2014,17.0
2011,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,Urban,Percent,2014,22.5
2012,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,Urban,Percent,2014,14.5
2013,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,Urban,Percent,2014,13.9
2014,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,Urban,Percent,2014,12.8
1993,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,Rural,Percent,2014,43.12
1997,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,Rural,Percent,2014,40.1
1999,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,Rural,Percent,2014,40.1
2004,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,Rural,Percent,2014,39.18
2007,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,Rural,Percent,2014,52.3
2008,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,Rural,Percent,2014,31.9
2009,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,Rural,Percent,2014,24.6
2010,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,Rural,Percent,2014,22.7
2011,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,Rural,Percent,2014,20.7
2012,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,Rural,Percent,2014,20.0
2013,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,Rural,Percent,2014,15.7
2014,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Cambodia,Rural,Percent,2014,12.5
2007,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Phnom Penh,,Percent,2014,19.1
2008,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Phnom Penh,,Percent,2014,13.4
2009,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Phnom Penh,,Percent,2014,12.8
2010,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Phnom Penh,,Percent,2014,12.4
2011,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Phnom Penh,,Percent,2014,10.9
2012,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Phnom Penh,,Percent,2014,16.25
2013,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Phnom Penh,,Percent,2014,20.17
2014,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.1 Proportion of population below national poverty line,Phnom Penh,,Percent,2014,18.7
