Value,en,Disaggregation combinations using this value,Number of indicators
CMAA_Cambodia Mine Action Authority/DBU,CMAA_Cambodia Mine Action Authority/DBU,31,6
CRDB/CDC,CRDB/CDC,10,10
"EDC,MOME_Annual Report","EDC,MOME_Annual Report",1,1
EPA/MoE MoC MAFF,EPA/MoE MoC MAFF,1,1
LMs-Las,LMs-Las,2,2
"MAFF, Forestry Administration_Forestry Statistics","MAFF, Forestry Administration_Forestry Statistics",1,1
MAFF/MOE,MAFF/MOE,1,1
"MAFF, MOE","MAFF, MOE",1,1
MAFF,MAFF,14,14
"Member of CNCW, MOWA","Member of CNCW, MOWA",3,3
MIH,MIH,1,1
MME,MME,2,2
MOC,MOC,4,4
MoC,MoC,1,1
MoE MEF (customs) MIH MoC MoH MoI MPWT,MoE MEF (customs) MIH MoC MoH MoI MPWT,1,1
MoE MIH MAFF MoH MoC,MoE MIH MAFF MoH MoC,1,1
MoE MIH MAFF MoI MoH MPWT MoC,MoE MIH MAFF MoI MoH MPWT MoC,1,1
MOE MIH MoI PP Municipality,MOE MIH MoI PP Municipality,3,3
MoE MRD,MoE MRD,1,1
"MoE, SNA","MoE, SNA",1,1
MoE,MoE,4,4
MoEYS_Education Statistics & Indicators,MoEYS_Education Statistics & Indicators,211,8
"MoEYS, MRD","MoEYS, MRD",2,2
MoEYS,MoEYS,6,6
MoH_Health Management Information System,MoH_Health Management Information System,1,1
MOH/MEF,MOH/MEF,1,1
MoH_National Tuberculosis Control (CENET),MoH_National Tuberculosis Control (CENET),1,1
MoH,MoH,11,10
MOLVT,MOLVT,1,1
MONASRI,MONASRI,1,1
MoP_Cambodia Socio Economic Survey,MoP_Cambodia Socio Economic Survey,5,2
"MoP, NIS_Cambodia Socio-economic Surveys (CSES)","MoP, NIS_Cambodia Socio-economic Surveys (CSES)",50,4
"MoP,NIS_Cambodia Socio Economics Survey","MoP,NIS_Cambodia Socio Economics Survey",1,1
"MoP, NIS_General Population Census of Cambodia","MoP, NIS_General Population Census of Cambodia",119,3
"MoP, NIS & MoH_Cambodia Demographic and Health Survey","MoP, NIS & MoH_Cambodia Demographic and Health Survey",189,6
"MoP, NIS_National Accounts, Bulletin","MoP, NIS_National Accounts, Bulletin",1,1
"MoP, NIS","MoP, NIS",1,1
MoP,MoP,1,1
MOP,MOP,1,1
MoSVY_National Fund for Veterans_2015,MoSVY_National Fund for Veterans_2015,24,1
MoSVY_National Fund for Veterans,MoSVY_National Fund for Veterans,1,1
MoSVY,MoSVY,1,1
MOT,MOT,2,2
"MOWA, LMs","MOWA, LMs",1,1
MOWA MCS,MOWA MCS,2,2
"MOWA, MOH","MOWA, MOH",1,1
"MOWA, MOP","MOWA, MOP",1,1
"MoWA_Planning and Statistics Department, Annual report","MoWA_Planning and Statistics Department, Annual report",1,1
"MoWA_Planning Department, Annual report","MoWA_Planning Department, Annual report",4,3
MPTC,MPTC,3,3
MPWT,MPWT,1,1
"NAA, MOH","NAA, MOH",2,2
National Committee for OVOP Promotion and other relevant ministries and institutions,National Committee for OVOP Promotion and other relevant ministries and institutions,2,2
NCSD MoI,NCSD MoI,3,3
"NRSC, National Road Safty Committee","NRSC, National Road Safty Committee",1,1
SSCA,SSCA,4,2
The National Science and Technology Council (NSTC),The National Science and Technology Council (NSTC),1,1
