Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,TIME_DETAIL,Value
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,F,Y0T4,,,PT,2014,45.9
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,F,Y0T4,,,PT,2014,35.8
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,F,Y0T4,,,PT,2014,38.2
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,F,Y0T4,,,PT,2014,31.9
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,M,Y0T4,,,PT,2014,43.3
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,M,Y0T4,,,PT,2014,38.8
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,M,Y0T4,,,PT,2014,41.6
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,M,Y0T4,,,PT,2014,32.9
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,,Y0T4,,,PT,2014,44.6
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,,Y0T4,,,PT,2014,37.3
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,,Y0T4,,,PT,2014,39.9
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,,Y0T4,,,PT,2014,32.4
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,,Y0T4,,Q1,PT,2014,46.7
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,,Y0T4,,Q1,PT,2014,51.1
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,,Y0T4,,Q1,PT,2014,41.9
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,,Y0T4,,Q2,PT,2014,42.5
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,,Y0T4,,Q2,PT,2014,44.4
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,,Y0T4,,Q2,PT,2014,37.1
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,,Y0T4,,Q3,PT,2014,36.5
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,,Y0T4,,Q3,PT,2014,39.3
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,,Y0T4,,Q3,PT,2014,31.7
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,,Y0T4,,Q4,PT,2014,35.5
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,,Y0T4,,Q4,PT,2014,34.2
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,,Y0T4,,Q4,PT,2014,29.1
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,,Y0T4,,Q5,PT,2014,19.4
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,,Y0T4,,Q5,PT,2014,23.1
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,,Y0T4,,Q5,PT,2014,18.5
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,,Y0T4,U,,PT,2014,38.1
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,,Y0T4,U,,PT,2014,30.5
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,,Y0T4,U,,PT,2014,27.5
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,,Y0T4,U,,PT,2014,23.7
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,,Y0T4,R,,PT,2014,45.7
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,,Y0T4,R,,PT,2014,38.3
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,,Y0T4,R,,PT,2014,42.2
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH,,Y0T4,R,,PT,2014,33.8
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH01,,Y0T4,,,PT,2014,28.9
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH01,,Y0T4,,,PT,2014,34.1
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH01,,Y0T4,,,PT,2014,33.4
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH01,,Y0T4,,,PT,2014,28.6
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH03,,Y0T4,,,PT,2014,48.2
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH03,,Y0T4,,,PT,2014,37.2
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH03,,Y0T4,,,PT,2014,46.9
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH03,,Y0T4,,,PT,2014,33.5
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH04,,Y0T4,,,PT,2014,45.9
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH04,,Y0T4,,,PT,2014,37.3
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH04,,Y0T4,,,PT,2014,40.3
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH04,,Y0T4,,,PT,2014,42.8
2000,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH05,,Y0T4,,,PT,2014,44.5
2005,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH05,,Y0T4,,,PT,2014,36.6
2010,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH05,,Y0T4,,,PT,2014,42.1
2014,A,0,C,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",A,N,SH_STA_STNT,KH05,,Y0T4,,,PT,2014,40.5
